team,offensive_rank,defensive_rank,opponent,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,19,20,,11,23,10,26,27
ATL,28,8,MIA,2,9,1,2,20
BAL,16,31,CHI,23,27,19,11,19
BUF,4,26,CAR,4,25,7,1,8
CAR,24,22,BUF,8,15,6,25,21
CHI,10,1,BAL,13,14,22,12,2
CIN,26,9,NYJ,19,32,13,32,14
CLE,30,13,NE,22,5,17,21,11
DAL,2,23,DEN,32,29,32,17,22
DEN,17,27,DAL,5,12,4,10,24
DET,3,3,,24,3,29,23,5
GB,7,29,PIT,6,1,5,31,6
HOU,21,7,SF,1,7,3,3,1
IND,1,4,TEN,21,6,31,30,9
JAX,22,2,,30,13,27,19,4
KC,6,16,WSH,7,11,8,4,10
LAC,20,21,MIN,12,26,14,13,17
LAR,11,5,,17,4,15,8,29
LV,31,17,,18,19,28,6,16
MIA,25,24,ATL,29,31,9,24,31
MIN,15,18,LAC,3,10,2,7,7
NE,8,11,CLE,9,8,20,27,25
NO,29,12,TB,27,24,16,16,23
NYG,18,28,PHI,31,21,30,15,26
NYJ,27,32,CIN,26,17,21,29,32
PHI,14,19,NYG,16,22,24,5,30
PIT,12,6,GB,20,2,23,22,13
SEA,5,14,,15,16,18,28,18
SF,23,25,HOU,14,20,11,14,3
TB,13,15,NO,25,28,12,18,12
TEN,32,10,IND,10,30,26,9,15
WSH,9,30,KC,28,18,25,20,28
